This file is created to check the network input
Node,OutLink,LinkTime,LinkTail,LinkHead,LinkLine,Fre
A,A-B,25,A,B,G1,0.16666666666666666
A,A-X2,7,A,X2,G2,0.16666666666666666
X2,X2-Y,6,X2,Y,Walk,1000.0
X2,X2-X,0,X2,X,Walk,1000.0
Y,Y-B,10,Y,B,G4,0.3333333333333333
Y,Y-Y3,0,Y,Y3,G3,0.06666666666666667
X,X-X2,0,X,X2,G2,0.16666666666666666
X,X-Y3,4,X,Y3,G3,0.06666666666666667
Y3,Y3-Y,0,Y3,Y,Walk,1000.0
Y3,Y3-B,4,Y3,B,Walk,1000.0
Node,InLink,LinkTime,LinkTail,LinkHead,LinkLine,Fre
X2,X-X2,0,X,X2,G2,0.16666666666666666
X2,A-X2,7,A,X2,G2,0.16666666666666666
Y,Y3-Y,0,Y3,Y,Walk,1000.0
Y,X2-Y,6,X2,Y,Walk,1000.0
B,A-B,25,A,B,G1,0.16666666666666666
B,Y-B,10,Y,B,G4,0.3333333333333333
B,Y3-B,4,Y3,B,Walk,1000.0
X,X2-X,0,X2,X,Walk,1000.0
Y3,Y-Y3,0,Y,Y3,G3,0.06666666666666667
Y3,X-Y3,4,X,Y3,G3,0.06666666666666667
